fecha,muestra,calidad,z_score,score_compuesto,anomalia_if,anomalia_lof,anomalia_svm,anomalia_z3,anomalia_mad,anomalia_spike,anomalia_ewma,anomalia_alto_valor,num_metodos,anomalia_final
2025-06-16T15:41:00Z,0.0,1,-0.11348473785353551,0.5652990279610038,0,0,0,0,0,0,0,0,0,0
2025-06-16T15:46:00Z,0.0,1,-0.11348473785353551,0.5652990279610038,0,0,0,0,0,0,0,0,0,0
2025-06-16T15:51:00Z,0.0,1,-0.11348473785353551,0.5652990279610038,0,0,0,0,0,0,0,0,0,0
2025-06-16T15:56:00Z,0.0,1,-0.11348473785353551,0.5652990279610038,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:01:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:05:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:06:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:11:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:16:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:21:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:26:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:31:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:36:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:41:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
2025-06-16T16:45:00Z,0.0,1,-0.11348473785353551,0.5641904931572325,0,0,0,0,0,0,0,0,0,0
